additional_information,ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,relevant_for_the_environment,reason,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified
The Centre carries out joint trainin programmes with the University of Trieste and other international research istitutions. The centre seeks to conduct  its mandate by providing scientists from developing countries with the continuing education and skills that they need to enjoy long and productive careers. ,0,0,0,0,unclear,"The project description does not mention any environmental impact or benefit, so it is unclear if it is a environmental project.",40120,2016,italy,"Other (Developing countries) / Developing countries, unspecified /  / International Centre for Theoretical Physics - Mandatory contribution ",,"developing countries, unspecified",continent_unspecified,6376076.08,5765885.6,6376076.08,Committed,ODA,cross-cutting,Grant,Other (Education post-secondary),False,False,False,False,False,False,False,False,False,False,True
provision  of deep-well pumps in  3 rural areas,0,0,0,0,unclear,"The project involves installing deep-well pumps in rural areas, which can be associated with providing a reliable water source for agricultural, domestic, and drinking purposes. However, the project's description does not contain explicit environmental aspects, such as using renewable energy sources or improving natural habitats. Therefore, the classification is not definitive.",40121,2016,italy,Somalia / Somalia / Africa (South of Sahara) / Provision  of deep-well pumps in  3 rural areas,somalia,,africa,11317.48,10234.4,11317.48,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
maintenance and update  of a water network in a village,1,0,0,1,yes,The project involves updating and maintaining a water network which are generally beneficial for the environment and community.,40122,2016,italy,Lebanon / Lebanon / Asia (Middle East Asia) / Provision of a proper water network,lebanon,,asia,12097.31,10939.6,12097.31,Committed,ODA,cross-cutting,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False
purchase of 125 300lt-waste containers ,1,0,1,2,yes,"The project involves purchasing waste containers, which can be argued as having a potential positive impact on the environment by promoting proper waste disposal and management.",40123,2016,italy,Lebanon / Lebanon / Asia (Middle East Asia) / provision of waste containers,lebanon,,asia,6619.04,5985.6,6619.04,Committed,ODA,cross-cutting,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False
purchase of a black-water tank and treatment plant for  a governmental building.,1,0,0,1,yes,The project involves the purchase of a treatment plant for wastewater.,40124,2016,italy,Lebanon / Lebanon / Asia (Middle East Asia) / Provision of a black water treatment system,lebanon,,asia,10947.69,9900.0,10947.69,Committed,ODA,cross-cutting,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False
provision  of a deep-well water collection tank for local population,1,0,0,1,unclear,"The project involves the provision of a water supply for a local population, which is not explicitly labeled as an environmental project, but it can have environmental benefits such as reducing the use of polluting water sources and promoting sustainable water practices.",40125,2016,italy,Somalia / Somalia / Africa (South of Sahara) / Provision of a water collection tank,somalia,,africa,2774.3,2508.8,2774.3,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
provision  of deep-well pumps for village,0,0,0,0,unclear,"The project involves providing a basic necessity for a village, but the description does not have any clear environmental implications.",40126,2016,italy,Lebanon / Lebanon / Asia (Middle East Asia) / Provision  of deep-well pumps for village,lebanon,,asia,47634.63,43076.0,47634.63,Committed,ODA,cross-cutting,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False
provision  of a drinking water treatment plant and deep-well water collection tank for a village,1,0,0,1,yes,"The project describes the provision of a drinking water treatment plant and deep-well water collection tank for a village, which are environmental-friendly activities.",40127,2016,italy,Lebanon / Lebanon / Asia (Middle East Asia) / purchase  of a drinking water purifier and provision of a water collection tank,lebanon,,asia,20066.25,18145.91,20066.25,Committed,ODA,cross-cutting,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False
A civil protection national team has been deployed for the following activities: damage assessment on strategic public facilities and private buildings and technical assistance to local experts conducted by Italian fire fighters. ,0,0,0,0,unclear,"The project description focuses on civil protection and damage assessment, with no mention of environmental impact. Thus, it's unclear if it's an environmental project.",40128,2016,italy,Ecuador / Ecuador / America (South America) / Support for the earthquake emergency started April 2016,ecuador,,latin america and the caribbean,16309.63,14748.8,16309.63,Committed,ODA,cross-cutting,Grant,Other (Recontruction relief and rehabilitation),False,True,False,False,False,False,False,False,False,False,False
PROVISION OF A GOVERNMENTAL OIL MILL,1,0,0,1,yes,"This project involves the production of oil, which can have environmental impacts such as habitat destruction, pollution, and contribution to climate change.",40129,2016,italy,Lebanon / Lebanon / Asia (Middle East Asia) / ENHANCEMENT OF GOVERNANCE AND LOCAL AGRICULTURE,lebanon,,asia,20517.59,18554.06,20517.59,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
support to the agricultural field in djibouti in order help people to cope with drought,1,0,0,1,yes,"The project is aimed at helping people cope with drought in the agricultural sector, which suggests that it could involve activities such as improving agricultural practices to increase resilience to drought, or providing resources to help farmers deal with the impacts of drought.",40130,2016,italy,Djibouti / Djibouti / Africa (South of Sahara) / purchase  of a drinking water purifier,djibouti,,africa,8901.91,8050.0,8901.91,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
VACCINATION  OF LOCAL LIVESTOCK,0,0,0,0,no,"The project involves vaccination of local livestock, which does not have a direct impact on the environment.",40131,2016,italy,Somalia / Somalia / Africa (South of Sahara) / Enhancement of health - Vaccination of local livestock,somalia,,africa,15603.23,14110.0,15603.23,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
provision of a course on management in fisheries  for the local women,1,0,0,1,yes,"The project promotes sustainable management of fisheries, which can have positive environmental impacts",40132,2016,italy,Somalia / Somalia / Africa (South of Sahara) / Provision of a course on management in fisheries  for the local women,somalia,,africa,11093.66,10032.0,11093.66,Committed,ODA,cross-cutting,Grant,Other (Fishing),True,False,False,False,False,False,False,False,False,False,False
"Socio-economic development and job opportunities for refugees, asylum seekers and vulnerable persons in target country",0,0,0,0,no,"Project focuses on social and economic development for disadvantaged groups, not explicitly related to environment",40133,2016,italy,Senegal / Senegal / Africa (South of Sahara) / CREA Sénegal. CRéation Emplois dans l’Agriculture,senegal,,africa,37176.77,33618.96,37176.77,Committed,ODA,cross-cutting,Grant,Other (Education Basic),True,False,False,False,False,False,False,False,False,False,False
"purchase of electronic, technical and it equipment, furniture and books in favour of the herat agricultural department and information and culture department. ",0,0,0,0,unclear,The description is not clear enough to determine if it involves environmental projects,40134,2016,italy,Afghanistan / Afghanistan / Asia (South & Central Asia) / provision of equipment to the department of information and culture and agricultural department of herat province,afghanistan,,asia,11793.43,10664.8,11793.43,Committed,ODA,cross-cutting,Grant,Other (Government and civil society general),False,False,False,False,False,True,False,False,False,False,False
supply of 70 backpacks to laf martiys association,0,0,1,1,unclear,The project description does not provide information about its environmental impact.,40135,2016,italy,Lebanon / Lebanon / Asia (Middle East Asia) / provision of waste containers,lebanon,,asia,433.48,392.0,433.48,Committed,ODA,cross-cutting,Grant,Other (Other social infrastructure and services),False,False,False,False,False,True,False,False,False,False,False
refurbishment of a kindergarten  in tanzania,0,0,1,1,unclear,"The project involves refurbishing a kindergarten, but no information is given about the use of environmentally friendly materials or practices.",40136,2016,italy,Tanzania / Tanzania / Africa (South of Sahara) / purchase  of a drinking water purifier and provision of a water collection tank,tanzania,,africa,1677.35,1516.83,1677.35,Committed,ODA,adaptation,Grant,Other (Education Unspecified),True,False,False,False,False,False,False,False,False,False,False
purchase of sanitary material and medical  equipment to increase the efficiency of  pristina hospital ,0,0,0,0,unclear,"The project's description includes medical equipment and improving a hospital's efficiency, but it does not contain information on environmental impact or sustainability.",40137,2016,italy,Other (Kosovo) / Kosovo / Europe / purchase  of a drinking water purifier,kosovo,,europe,1017.36,920.0,1017.36,Committed,ODA,adaptation,Grant,Other (Health General),False,False,False,False,False,False,True,False,False,False,False
"COMPLETE RESTRUCTURING OF 3 SIDES AND THE ROOF OF A MAJOR MOGADISHU HOSPITAL, INCLUDING  PROVISION OF WINDOWS, HOSPITAL ROOMS, STAIRS AND RAIN WATER DISPERSAL TANK",1,0,0,1,unclear,"Renovation of a hospital building, no explicit environmental impact mentioned",40138,2016,italy,"Somalia / Somalia / Africa (South of Sahara) / Restructuring of 3 sides and the roof of Mogadishu hospital, including  provision of windows, hospital rooms, stairs and rain water dispersal tank",somalia,,africa,215061.37,194480.0,215061.37,Committed,ODA,adaptation,Grant,Other (Health General),True,False,False,False,False,False,False,False,False,False,False
purchase in partnership whit local autorities of a generator eletronic for municipality,1,0,1,2,unclear,The project description is not clear about its impact on the environment.,40139,2016,italy,Lebanon / Lebanon / Asia (Middle East Asia) / purchase  of a drinking water purifier,lebanon,,asia,13269.93,12000.0,13269.93,Committed,ODA,adaptation,Grant,Other (Government and civil society general),False,False,False,False,False,True,False,False,False,False,False
replacement of a drinking water treatment plant for a local orphanage canteen,1,0,0,1,yes,"The project involves the provision of clean drinking water for an orphanage, which indirectly contributes to environmental sustainability.",40140,2016,italy,Djibouti / Djibouti / Africa (South of Sahara) / purchase  of a drinking water purifier,djibouti,,africa,1105.73,999.91,1105.73,Committed,ODA,adaptation,Grant,Other (Other social infrastructure and services),True,False,False,False,False,False,False,False,False,False,False
support  sports activities by creating a suitable place for children to play,0,0,0,0,unclear,Place for children's play is not explicitly defined as environmentally relevant or not. More information is needed to make a clear classification.,40141,2016,italy,Djibouti / Djibouti / Africa (South of Sahara) / purchase  of a drinking water purifier and provision of a water collection tank,djibouti,,africa,8353.42,7554.0,8353.42,Committed,ODA,adaptation,Grant,Other (Other social infrastructure and services),True,False,False,False,False,False,False,False,False,False,False
promotion of the efficiency  of teaching,0,0,0,0,no,The project aims to improve education but does not directly address environmental concerns,40142,2016,italy,Djibouti / Djibouti / Africa (South of Sahara) / public solar lamps  donation,djibouti,,africa,6406.72,5793.6,6406.72,Committed,ODA,mitigation,Grant,Other (Education Unspecified),True,False,False,False,False,False,False,False,False,False,False
provision of teaching material for a kindergarten  in djibouti,0,0,0,0,no,"The project involves providing teaching material for a kindergarten, which on its own does not have a direct impact on the environment.",40143,2016,italy,Djibouti / Djibouti / Africa (South of Sahara) / public solar lamps  donation,djibouti,,africa,2211.66,2000.0,2211.66,Committed,ODA,mitigation,Grant,Other (Education Unspecified),True,False,False,False,False,False,False,False,False,False,False
provision of winter packs to locals in need,0,0,1,1,unclear,"The project involves providing aid to people in need during winter, but it does not contain any information about its impact on the environment.",40144,2016,italy,Afghanistan / Afghanistan / Asia (South & Central Asia) / public solar lamps  donation,afghanistan,,asia,6447.75,5830.7,6447.75,Committed,ODA,mitigation,Grant,Other (Other social infrastructure and services),False,False,False,False,False,True,False,False,False,False,False
Mitigate the negative effects of the drought by protecting livelihoods and rehabilitation measures,1,0,0,1,yes,"Project aims to address negative effects of drought, includes rehabilitation measures",40145,2016,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / Emergency aid and rehabilitation in Borana,ethiopia,,africa,27247.59,24640.0,27247.59,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
"Better agricultural production through supporting cooperatives, environment protection, adaption to climate change",1,1,0,2,yes,"The project includes environment protection and adaption to climate change, indicating its relevance to the environment",40146,2016,italy,Uganda / Uganda / Africa (South of Sahara) / Sustain the agriculture in North Uganda within the plan for sectoral strategy and investment (DSIP) of the Ministry of Agriculture and Environment,uganda,,africa,77399.42,69992.3,77399.42,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
Mobilization of the local communities to adapt to climate change and to reduce its impact in the Missenyi region. ,1,1,0,2,yes,This project involves mobilizing local communities to adapt to and reduce the impact of climate change.,40147,2016,italy,"Tanzania / Tanzania / Africa (South of Sahara) / Community mobilization for climate change adaptation and mitigation in Misseny District, Kagera Region - Tanzania",tanzania,,africa,23222.38,21000.0,23222.38,Committed,ODA,adaptation,Grant,Other (Environmental education/ training),True,False,False,False,False,False,False,False,False,False,False
resaerch and technology transfer for seismic risks prevention,0,0,0,0,unclear,The project's description includes technology transfer for seismic risks prevention.,40148,2016,italy,India / India / Asia (South & Central Asia) / seismic risks prevention,india,,asia,98418.67,89000.0,98418.67,Committed,ODA,adaptation,Grant,Other (Disaster prevention and preparedness),False,False,False,False,False,True,False,False,False,False,False
"Drinking water supply and construction of sanitary facilities for two kindergartens and a primary school in Shashemene, Ethiopia",0,0,0,0,yes,The project involves the construction of water and sanitation facilities in educational institutions.,40149,2016,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / Drinking water supply and csanitary facilities ,ethiopia,,africa,13269.93,12000.0,13269.93,Committed,ODA,adaptation,Grant,Other (Education Basic),True,False,False,False,False,False,False,False,False,False,False
"The project aims to built a health center in an evacuation area of the Camotes Islands, often affected from natural hazards. It is built with natural construction materials and the beneficiaries are involved in the construction process. The installation of a photovoltaic system allows a total self sustainability of the health center. The project will contribute to disaster reduction and community resilience empowering communities to prepare for and cope with natural hazards and related topics such as health, hygiene and livelihoods promotion.",1,0,0,1,yes,"The project is building a health center using natural materials and will be self-sustaining with a photovoltaic system. It also aims to empower communities to prepare for natural hazards, contributing to disaster reduction and community resilience.",40150,2016,italy,Philippines / Philippines / Asia (Far East Asia) / Medical center for emergency,philippines,,asia,4423.31,4000.0,4423.31,Committed,ODA,adaptation,Grant,Other (Health Basic),False,False,False,False,False,True,False,False,False,False,False
"Agua para la Vida: drinking water in some rural communities of Larreynaga Hall, the department of León, and related technical, health and hygiene training ",0,0,0,0,yes,"Project description includes installation of drinking water systems in rural communities, as well as providing training in related technical, health, and hygiene areas. These activities promote responsible use and maintenance of water systems, reducing potential negative impacts on the environment. ",40151,2016,italy,"Nicaragua / Nicaragua / America (North & Central America) / Agua para la Vida: drinking water in some rural communities of Larreynaga Hall  and related technical, health and hygiene training ",nicaragua,,latin america and the caribbean,13269.93,12000.0,13269.93,Committed,ODA,adaptation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False
"Construction of a drinking water well for the community of Pakeba, Tambacounda region",1,0,0,1,yes,"The project description includes the construction of a well for a community, which will provide clean drinking water. This is beneficial for the environment as it reduces the need for alternative water sources and prevents potential contamination.",40152,2016,italy,Senegal / Senegal / Africa (South of Sahara) / Drinking water well for the community,senegal,,africa,3538.65,3200.0,3538.65,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"Construction of a well in Karemeno / Mugunda, Central Province",0,0,0,0,unclear,"The project description refers to the construction of a well, which does not have a direct impact on the environment. However, the location of the well in a specific region (Karemeno/Mugunda, Central Province) is provided, but there is no information on whether the construction of the well would have any environmental impact. Therefore, the project description is not clear enough to classify it as environmentally relevant or not.",40153,2016,italy,"Kenya / Kenya / Africa (South of Sahara) / well in Karemeno / Mugunda, Central Province",kenya,,africa,13269.93,12000.0,13269.93,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"Construction of a well in the village of Coiada, Gabú region",1,0,0,1,unclear,"This project involves construction work, which can have environmental impacts, but the description does not provide enough information to make a determination.",40154,2016,italy,"Guinea-Bissau / Guinea-Bissau / Africa (South of Sahara) / well in the village of Coiada, Gabú region",guinea-bissau,,africa,23885.88,21600.0,23885.88,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"Construction of a well near the town of Bula, Cacheu region",1,0,0,1,unclear,"The project involves construction of a well, which can be considered as an infrastructure project. However, the description does not mention any environmental benefits or harm, so it is unclear if it is relevant for the environment.",40155,2016,italy,"Guinea-Bissau / Guinea-Bissau / Africa (South of Sahara) / well near the town of Bula, Cacheu region",guinea-bissau,,africa,24328.21,22000.0,24328.21,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"Construction of an aqueduct for the village of Dighèmurad, Anseba region",1,0,1,2,unclear,"The project involves construction of an infrastructure project, which may or may not have environmental impacts. However, the description is not clear enough to make a definitive classification.",40156,2016,italy,"Eritrea / Eritrea / Africa (South of Sahara) / aqueduct for the village of Dighèmurad, Anseba region",eritrea,,africa,35386.49,32000.0,35386.49,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"Emergency water project in Morobo, Central Equatoria State",1,0,0,1,unclear,"The project involves providing water to a community in need, but it's unclear if it includes environmental considerations.",40157,2016,italy,Other (South Sudan) / South Sudan / Africa (South of Sahara) / Emergency water project,sudan,,africa,30963.18,28000.0,30963.18,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"Technical and management training for the functioning of various aqueducts of Villavicencio and peri-urban water supply improvement of Villa Lorena, in the Meta Department",1,0,0,1,yes,The project involves improvement of water supply which can have environmental benefits,40158,2016,italy,Colombia / Colombia / America (South America) / Training for the functioning of aqueducts,colombia,,latin america and the caribbean,16366.25,14800.0,16366.25,Committed,ODA,adaptation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False
"Water project 'Hermana Agua' in the region of Cochabamba, Bolivia",1,0,0,1,unclear,"The project is related to water supply in a specific region, but it does not provide information on environmental benefits or impacts.",40159,2016,italy,Bolivia / Bolivia / America (South America) / Water project 'Hermana Agua',"bolivia, plurinational state of",,latin america and the caribbean,28751.52,26000.0,28751.52,Committed,ODA,adaptation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False
"Water system for the supply of drinking water for the village of Laba, Burkina Faso",1,0,0,1,yes,"The project involves the supply of drinking water, which is positive for the environment as it promotes the use of clean water and reduces the reliance on polluting water sources.",40160,2016,italy,Burkina Faso / Burkina Faso / Africa (South of Sahara) / Water system for the supply of drinking water,burkina faso,,africa,33174.83,30000.0,33174.83,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
development of rural economy-food production and valorisation of local products,0,0,0,0,unclear,"The project's description includes the development of food production which can have environmental implications, but the details are not sufficient to determine the specific environmental impact.",40161,2016,italy,Togo / Togo / Africa (South of Sahara) / PAIN DE VIE 2,togo,,africa,13230.12,11964.0,13230.12,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
"This is the continuation of a project begun in past years aimed to provide the village with Koussanar, where cattle ranching is of fundamental importance, a veterinary pharmacy. In parallel we continue the project of equipping the scattered villages of a community radio to promote the spread of institutional information and implement the realization of the civil status of the population.",0,0,0,0,unclear,The project description includes providing a veterinary pharmacy and equipping community radio which does not have a direct impact on the environment. Further information is needed to conclude on environmental benefits.,40162,2016,italy,"Senegal / Senegal / Africa (South of Sahara) / Veterinary pharmacy, a community radio Marital Status",senegal,,africa,663.5,600.0,663.5,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
"Improvement of the irrigation system and water supply, accompanying market goods, completion of the restructuring of a classroom, in order tosupport women, making them more autonomous and independent both economically and with respect to family commitments.",1,0,0,1,unclear,"Project describes various improvements including irrigation, water supply, market goods, and classroom restructuring. However, it is unclear if these activities are environmentally friendly or not. A more detailed description is required to make a clear determination.",40163,2016,italy,Senegal / Senegal / Africa (South of Sahara) / Women and local development in Koussanar,senegal,,africa,663.5,600.0,663.5,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
Support the construction of greenhouses for families,1,0,1,2,yes,"The project describes the use of greenhouses, which are commonly used for environmentally friendly farming practices. Therefore, this project is considered relevant for the environment.",40164,2016,italy,"Middle East and North Africa / Middle East, regional / Asia (Middle East Asia) / Greenhouses in Cisjordania",,"asia, middle east, africa","africa, asia, multicontinent_or_global",9892.12,8945.44,9892.12,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,True,False,False,False,True,False
Install seed banks,0,0,0,0,yes,"The project is about preserving and protecting different types of plants, which has a positive impact on the environment.",40165,2016,italy,India / India / Asia (South & Central Asia) / Biodiversity and seed independence,india,,asia,6192.64,5600.0,6192.64,Committed,ODA,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
Improve water and sanitation and to prevent epidemics,0,0,0,0,yes,Clearly an environmental project as it aims to improve water and sanitation which helps prevent epidemics and promotes better use of natural resources.,40166,2016,italy,Congo / Congo / Africa (South of Sahara) / Access to water and sanitation and prevent possible outbreaks,congo,,africa,15979.21,14450.0,15979.21,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"The project aims to increase the energy capacity of the school (500 boys) through a stand-alone system to ensure continuous supply and self-sustainable for the next twenty years. The school is the first of all the north-east of R.D. Congo and train students in the fields of construction, carpentry, mechanics, electricity, nutrition etc. to give them the possibility of a subsequent start in the working field.",1,0,0,1,unclear,"The project increases the energy capacity using a stand-alone system which suggests a self-sustainable and renewable energy source, but it's not explicitly stated. However, the training of students in various fields is not environment-related.",40167,2016,italy,"Democratic Republic of the Congo / Democratic Republic of the Congo / Africa (South of Sahara) / Photovoltaic panels for the vocational school ""Pedrollo""",congo,,africa,4423.31,4000.0,4423.31,Committed,ODA,cross-cutting,Grant,Other (Education Secondary),True,False,False,False,False,False,False,False,False,False,False
Construction of irrigation system of a permanent greenhouse vegetables in the Wilaya of Boujdour.,1,0,0,1,yes,"The project involves the construction of a greenhouse for vegetables, which is a form of agriculture that is typically sustainable and has a lower environmental impact than traditional farming methods.",40168,2016,italy,"Middle East and North Africa / North of Sahara, regional / Africa (North of Sahara) / Creation of permanent greenhouse vegetable farming",,"middle east, africa",africa,1459.69,1320.0,1459.69,Committed,ODA,cross-cutting,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False
WATER MANAGEMENT AND ENVIRONMENTAL PROTECTION,1,0,0,1,yes,The project explicitly includes 'environmental protection' in its title,40169,2016,italy,Pakistan / Pakistan / Asia (South & Central Asia) / Sustainable management of drinking water ,pakistan,,asia,12296.8,11120.0,12296.8,Committed,ODA,cross-cutting,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False
WATER MANAGEMENT AND ENVIRONMENTAL PROTECTION,1,0,0,1,yes,The project explicitly includes 'environmental protection' in its title,40170,2016,italy,Senegal / Senegal / Africa (South of Sahara) / Idrico,senegal,,africa,11677.54,10560.0,11677.54,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
LOCAL DEMOCRACY AND ACTIVE CITIZENSHIP-WOMEN INVOLVEMENT IN LOCAL DEVELOPMENT,0,0,0,0,no,"Promoting democratic values and inclusion, not an environmental project",40171,2016,italy,Cameroon / Cameroon / Africa (South of Sahara) / COMMUNITY DEVELOPMENT FOR WOMEN OF MBANDA,cameroon,,africa,36359.62,32880.0,36359.62,Committed,ODA,cross-cutting,Grant,Other (Government and civil society general),True,False,False,False,False,False,False,False,False,False,False
"Purchase of a solar-powered pump and education to eco-citizenship to Natitingou, Benin",1,1,1,3,yes,The project involves the use of renewable energy source i.e. solar energy,40172,2016,italy,Benin / Benin / Africa (South of Sahara) / realization of a plant greenhouses,benin,,africa,3980.98,3600.0,3980.98,Committed,ODA,cross-cutting,Grant,Energy,True,False,False,False,False,False,False,False,False,False,False
"Project ""Agriponic - Promotion and Dissemination of aeroponic technology in agriculture"". The Agriponic project had as its objective the dissemination and exchange of experience between the partners on the culture technique ""aeroponics"" applied horticulture, floriculture and production of medicinal plants. The aeroponics is a highly innovative cultivation technique in a protected environment, is characterized as growing ""off the ground"" and closed-loop.",0,0,0,0,yes,"The project promotes an innovative method of growing plants off the ground and in a closed-loop system, which can save water and reduce the need for chemical pesticides and fertilizers.",40173,2016,italy,Tunisia / Tunisia / Africa (North of Sahara) / Promotion and Dissemination of aeroponic technology in agriculture,tunisia,,africa,16671.83,15076.34,16671.83,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
DEVELOPMENT OF RURAL ECONOMY-FOOD SECURITY WITH PRODUCTION OF JATROPHA CURCAS AND MORINGA ,0,0,0,0,yes,Description includes production of Jatropha Curcas and Moringa which are plants used in various environmental and green projects.,40174,2016,italy,Cameroon / Cameroon / Africa (South of Sahara) / Agro-Chain Cameroon,cameroon,,africa,13269.93,12000.0,13269.93,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
"From producers to consumers: a sustainable coffee chain, Indigo and organic vegetables",1,0,0,1,yes,"The project involves sustainable coffee production and organic vegetable production, which are beneficial to the environment.",40175,2016,italy,El Salvador / El Salvador / America (North & Central America) / From producers to consumers,el salvador,,latin america and the caribbean,884.66,800.0,884.66,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
"Objective: to feed 50,000 people and prevent abandon what remains of their home and the place where they lived until now. Feed and care for the people, restore orchards and crops, goats and poultry, boats and nets to catch fish, rebuild houses and roofs, to return families to their homes and children to school",1,0,0,1,yes,"Project description provides details of restoring and caring for agricultural practices, housing, and education, which are related to environmental conservation and improvement of living conditions.",40176,2016,italy,Haiti / Haiti / America (North & Central America) / Support activities for children: emergency  Mattew hurricane. ,haiti,,latin america and the caribbean,442.33,400.0,442.33,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
DEVELOPMENT OF RURAL ECONOMY-VALORISATION OF LOCAL PRODUCTS,0,0,0,0,unclear,"This project promotes rural development and the use of local products, which could include sustainable farming practices and support for local communities. However, the description is not clear about specific environmental benefits, if any.",40177,2016,italy,Côte d'Ivoire / Côte d'Ivoire / Africa (South of Sahara) / Food security in bouakè province,côte d'ivoire,,africa,4671.02,4224.0,4671.02,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
DEVELOPMENT OF RURAL ECONOMY-PRODUCTION OF PEPPER,0,0,0,0,yes,"The project explicitly mentions production of pepper, which is a crop, and taking place in a rural area. This makes it a clear example of a project that contributes to the rural economy.",40178,2016,italy,Mozambique / Mozambique / Africa (South of Sahara) / Kapezulu,mozambique,,africa,13269.93,12000.0,13269.93,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
DEVELOPMENT OF RURAL ECONOMY-PRODUCTION OF BIO COCOA,0,0,0,0,yes,"This project involves the production of bio cocoa, which suggests it is related to agriculture and farming. Assuming 'bio' refers to organic and sustainable practices, this project would be beneficial for the environment. Therefore, 'relevant_for_the_environment' is set to 'yes'.",40179,2016,italy,Peru / Peru / America (South America) / BIO COCOA FOR THE BUEN VIVIR,peru,,latin america and the caribbean,13269.93,12000.0,13269.93,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
"The project proposes an integrated approach to the issue of sustainable coffee from Guatemala and El Salvador. The action is rooted on three components. The first aims at strengthening cooperatives coffee farmers, the second introduces strategies for diversifying sources of income and the third provides education courses to food sovereignty locally",0,1,0,1,yes,"The project promotes sustainable farming and diversifying income sources, which can benefit the environment.",40180,2016,italy,Guatemala / Guatemala / America (North & Central America) / Proper coffee ,guatemala,,latin america and the caribbean,24498.34,22153.85,24498.34,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
RESEARCH AND TECHNOLOGY TRANSFER FOR ENVIRONMENTAL PROTECTION,1,0,0,1,yes,The project's aim is to protect the environment,40181,2016,italy,Argentina / Argentina / America (South America) / DELP,argentina,,latin america and the caribbean,39809.8,36000.0,39809.8,Committed,ODA,cross-cutting,Grant,Industry,False,True,False,False,False,False,False,False,False,False,False
