additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"Tibetan minority emergency: rescue of the victims of famine due to drought. Gonghe County, Tibetan Authority Prefecture Hainan, Qinghai Province",0,1,8932,2020,italy,China (People's Republic of) / Tibetan minority emergency: rescue of victims of famines due to drought in Qinghai province,china,,asia,111690.79,97802.79,111690.79,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To build bathrooms for the families of the children whose education is supported in project PRJ_2018_01. This project is in line with the Indian Government's initiative """"SWACHH BHARAT - Clean India"""" to increase the availability of basic sanitary infrastructure in the Country.",1,0,9209,2020,italy,India / Hygiene project,india,,asia,5280.61,4624.0,5280.61,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To build bathrooms for the families of the children whose education is supported in project PRJ_2018_01. This project is in line with the Indian Government's initiative ""SWACHH BHARAT - Clean India"" to increase the availability of basic sanitary infrastructure in the Country.",1,0,2929,2019,italy,India / Hygiene project,india,,asia,2021.24,1805.0,2021.24,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To contribute to the financial inclusion of women in the Africa where over 70% of women are excluded from access to credit, especially for business activities.",0,0,8725,2020,italy,"Africa, regional / Gender Equality Trust Fund (GETF)",,africa,africa,913600.0,800000.0,913600.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To create a common reference framework (network of Food Smart Cities) to guide European LAs and CSOs in drafting, developing and implementing local food related policies",1,0,40334,2016,italy,"Other (Developing countries) / Developing countries, unspecified /  / Food smart cities for development",,"developing countries, unspecified",continent_unspecified,68658.63,62088.0,68658.63,Committed,ODA,cross-cutting,Grant,Not applicable,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"To favor access to drinking water in the community schools and to improve supply and quality of water for 1750 people. It is planned to restore the network of aqueducts, to replace 2200 meters of piping, to secure water connections in schools, realising 8 handmade filters for water purification, 5 dry bathrooms, 5 school gardens,  to improve health systems inside the schools together with rainwater collection and distribution system purchasing 9 cisterns of 500 l. From dry bathrooms  will be obtained a fertilizer to nourish the school gardens. These structural interventions will be accompanied with educational activities for 500 students. ",1,1,40196,2016,italy,Colombia / Colombia / America (South America) / Education and solidarity for the defense of common goods in 5 schools in Colombia ,colombia,,latin america and the caribbean,13208.89,11944.8,13208.89,Committed,ODA,mitigation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
To foster and coordinate actions to face global climate change. Development of  climate change adaptation measures and mesurement of its impact on potentially vulnerable areas of the region's economies.,1,1,42447,2015,italy,Botswana / Botswana,botswana,,africa,2218524.68,2000000.0,2218524.68,Committed,ODA,cross-cutting,Grant,Other (Biosphere protection),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To guarantee vulnerable children a medical and physiotherapeutic care, necessary medicines, educational support and 6 extra courses. Will be activated 2 experimental national programs “Familiar welcome” for 15 children in need, and “Autonomy”, a path to job placement and a conquest of individual autonomy for 40 children close to the age of majority. The second block of activities will develop forms of agricultural production and common use of land. It is planned to cultivate 17 ha of pure cacao and organic coffee,  2 ha of fruit trees, to start farming activities and a promotion of ecotourism. It is also planned to activate 15 traineeships in agriculture for young people. Moreover, 100 families will benefit from kit for the realisation of their own garden, will be trained and technically instructed.  Finally, the project involves the promotion of commercial networks in the food sector. ",1,1,40323,2016,italy,Ecuador / Ecuador / America (South America) / With both feet on the ground  – Social farming for the redemption of children at risk ,ecuador,,latin america and the caribbean,103229.02,93350.0,103229.02,Committed,ODA,cross-cutting,Grant,Other (Other social infrastructure and services),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
To improve the availability and the sustainability of hygienically safe water sources to the population of the Karamoja Region,0,1,9767,2020,italy,Uganda / KARAMOJA WATER PROGRAMME,uganda,,africa,11391.45,9975.0,11391.45,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To improve the quality of education through the supply of photovoltaic panels in secondary and teacher  training schools. Together with this, will be founded one cooperative of 5 young technicians for the installation and maintenance of solar panels. Moreover, will be activated financial education courses destined for teachers.  ",1,1,40188,2016,italy,Tanzania / Tanzania / Africa (South of Sahara) / Enlight your Education,tanzania,,africa,17161.56,15519.2,17161.56,Committed,ODA,mitigation,Grant,Other (Education Unspecified),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
To make the ground fertile through the distribution of bio-fertilizer and to install an additional equipment to the existing water treatment plant. Will be hosted 60 yougsters who will take care of cultivation of products and will distribute them in local markets.  ,1,1,40211,2016,italy,Peru / Peru / America (South America) / In the desert will bloom the hope,peru,,latin america and the caribbean,16047.77,14512.0,16047.77,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To promote access to quality education and vocational training education, nutritious food,counseling, healthcare, educational activities for children formerly involved or at risk of child labour in Markapur. The project also aims at preventing early marriages through vocational training for girls. Supported also in the context of covid-19 pandemic.",1,0,9220,2020,italy,India / Boarding school and financial support to access primary and secondary school for children formerly involved or at risk of child labour in Markapur,india,,asia,15302.8,13400.0,15302.8,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To promote agricultural education for vulnerable children and refugees from Myanmar, in Sangkhlaburi and to develop agricultural production for the Children of the Forest centre so that it can rely more on self-production of food and become more self-sustainable through selling cash crops",1,1,9727,2020,italy,"Thailand / Farming program and agricultural education for vulnerable children and refugees from Myanmar, in Sangkhlaburi",thailand,,asia,6647.35,5820.8,6647.35,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To promote, through the intervention of the civil society, high quality and inclusive education, in line with Sustainable Development Goal 4, Senegal's national policies and development strategies.The specific objective of the initiative is to strengthen,",1,1,9625,2020,italy,Senegal / Integrated programme for the implementation of an enclusive education system - PERSEI,senegal,,africa,456800.0,400000.0,456800.0,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To provide a complete, equal, inclusive educational opportunities for young Saharawis through: - Support Saharawi pupils’ access to public primay schools in the most disadvantaged areas of saharwi territories also to tackle ESL - Institutional capacity building for the setting up of a strategy for an equal, inclusive educational offer  - saharawi refugees in Algeria and in the villages of Tifariti and Buer Tighsit in West Sahara under Polisario Front",1,0,8752,2020,italy,"Algeria / Education, right to the future for new Saharawi generations",algeria,,africa,1644.48,1440.0,1644.48,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
To provide funding or technical support to micro-projects promoted by local organisations,1,0,3092,2019,italy,Uganda / SUPPORT TO LOCAL ORGANISATIONS,uganda,,africa,4087.27,3650.0,4087.27,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To provide technical equipment for two missions in Peru. The first one is in need of an adeguate equipment for the soil cultivation: a small tractor, and a rototiller. The second mission is in need of a van for the easier transfers.",1,1,40291,2016,italy,Peru / Peru / America (South America) / Supply of technical equipment for two missions of Mato Grosso Operation in Ancash Region,peru,,latin america and the caribbean,24558.22,22208.0,24558.22,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To provide the girls and boys of whom we support the education, and their families, with support for basic nutritional and personal hygiene needs during the bursting out of the covid-19 pandemic and the ensuing lockdowns",1,0,9206,2020,italy,India / Emergency India,india,,asia,1303.71,1141.6,1303.71,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To realise some educational, rehabilitative and vocational workshops. ",0,0,40220,2016,italy,Peru / Peru / America (South America) / Educational workshops for children and young people with disabilities,peru,,latin america and the caribbean,38513.33,34827.6,38513.33,Committed,ODA,cross-cutting,Grant,Other (Education Unspecified),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To strengthen a series of activities started long time ago in Caia District, with a particular attention to environmental, economic and social  development sectors, to the most needy population groups (disabled people, children, women). There are proposed training activities and technical assistance, in particular a support to agricultural and agri-food sectors (sesame, milk), to local authorities and credit market. Also, will be launched  a feasibility study for a service of municipal solid waste collection and disposal in Beira ",1,1,40216,2016,italy,Mozambique / Mozambique / Africa (South of Sahara) / Mozambique in Trentino 2.0,mozambique,,africa,154815.88,140000.0,154815.88,Committed,ODA,mitigation,Grant,Other (Rural Development),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To support civil Syrian CSOs to build a democratic and inclusive environment by promoting and protecting the human rights of children and young people, to help Syrian people face the current crisis. To strengthen the capacity of Syrian CSOs in addressing children's rights violations; promote the participation and representation of children and young people in international negotiations and reinforce coordination and networking among Syrian CSOs",1,1,9701,2020,italy,Syrian Arab Republic / Supporting Syrian CSOs on children's rights and their contribution to building a democratic future,syrian arab republic,,asia,5956.22,5215.6,5956.22,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
To sustain healthy ecosystems and livelihood opportunities for remote rural communities through supporting sustainable ecotourism development. To support sustainable management of natural resources and ecotourism development to enhance the capacity of the existing African Ivory Route (AIR) Public-Private-Community Partnerships (PPCPs) to deliver resilient and sustainable livelihoods.,1,1,40357,2016,italy,"South Africa / South Africa / Africa (South of Sahara) / Enhancing environmental sustainability, resilience to climate change and improved livelihoods for vulnerable communities",south africa,,africa,27734.16,25080.0,27734.16,Committed,ODA,adaptation,Grant,Other (Site preservation),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To the event - focused on the interconnections between food, environment and nature in transnational context as part of the research project Transnational Appetites: Migrant Women's Art and Writing on Food and the Environment - contributed interventions about the enhancement of biodiversity in Madagascar, raising awareness about  issues concerning its conservation and the development of alternative sources of income for local people. ",1,1,40710,2016,italy,"Madagascar / Madagascar / Africa (South of Sahara) / Enhancement of biodiversity, raising awareness about issues concerning its conservation and the development of alternative sources of income",madagascar,,africa,3023.98,2734.58,3023.98,Committed,ODA,mitigation,Grant,Other (Bio-diversity),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"To this end, a series of activities are envisaged by this program with thr specific objective of strenghthening the capacities of the Tunisian Ministry of Education through a transfer of experise, allowing a more trasparent, efficient and decentralized management of the education sector since the preparatory class and an improvement in teacher training and children skills.",1,0,39026,2017,italy,"Tunisia / The aim of the program is to contribute to the success of the children in Tunisia, particulary thr most disadvanted, in terms of education, well-being, employability and social inclusion",tunisia,,africa,2088806.31,1852771.2,2088806.31,Committed,ODA,cross-cutting,Grant,Other (Education unspecified),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Total allocation: 150.000€ Fields of actions: 1) environment,sustainable development and climate change; 2) public health; 3) edication,training and culture; 4) human rights, democracy, equality , with special attention to women and young people; 5) local economic development and entrepreneurship.",0,1,39294,2017,italy,Other (Developing countries) / Agreement between the City of Modena and the Foundation Cassa di Risparmio of Modena to publish a public call to support projects in the field of international cooperation for development in Third Countries. ,,developing countries,continent_unspecified,22547.91,20000.0,22547.91,Committed,ODA,mitigation,Grant,Not applicable,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
Tourism  capacity building in myanmar,0,0,40069,2016,italy,Myanmar / Myanmar / Asia (South & Central Asia) / Tourism  capacity building in Myanmar,myanmar,,asia,10368.29,9376.04,10368.29,Committed,ODA,cross-cutting,Grant,Other (Education post-secondary),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training Courses  about """"Fight to financing of terrorism and organised crime. Economic and financial investigation techniques"""" in favour of officers of Agencies of Law Enforcement coming from Nigeria, Ivory Coast, Guinea and  Senegal.",0,0,8713,2020,italy,"Africa, regional / Training Courses  about """"Fight to financing of terrorism and organised crime. Economic and financial investigation techniques""""","côte d'ivoire, senegal, nigeria, guinea",,africa,65528.69,57380.64,65528.69,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training activities for fathers and mothers aimed at preventing violence and mistreatment of children from poor families. The beneficiaries will be 950 parents and 1300 children who suffer daily episodes of domestic violence, caused by a lack of knowledge on the education of children and the management of emotions. The goal is to allow children to acquire behaviors appropriate to school and which can help their personal development and increase self-confidence.",1,0,9580,2020,italy,Peru / Parent education to prevent violence and mistreatment of poor children,peru,,latin america and the caribbean,23451.2,20535.2,23451.2,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training and advocacy courses aimed at supporting the peace process and combating discriminatory practices.,1,0,9806,2020,italy,West Bank and Gaza Strip / Engaging in the Contexts of Crisis - Palestine,"palestine, state of",,asia,14800.32,12960.0,14800.32,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training and development project in the agri-livestock sector and promotion of income-generating family activities. Development of family activities generating income through strengthening pathways and acquisition of technical skills that lead to an optimal and sustainable utilization of land to cultivate and small farms, aimed mainly at young people",1,0,40587,2016,italy,Colombia / Colombia / America (South America) / Training and development in the rural community of Norcasia,colombia,,latin america and the caribbean,114487.45,103531.0,114487.45,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training and prevention against earthquakes in Santiago de Cuba,0,0,40360,2016,italy,Cuba / Cuba / America (North & Central America) / Training and prevention against earthquakes in Santiago de Cuba,cuba,,latin america and the caribbean,9288.95,8400.0,9288.95,Committed,ODA,adaptation,Grant,Other (Disaster prevention and preparedness),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training and support for women who carry out small-scale agricultural activities, to increase the production and quality of products intended for self-consumption and small-scale sales, contributing to the increase in women's income with products and tools consistent with family farming.",1,0,2797,2019,italy,Bosnia And Herzegovina / Family gardens,bosnia and herzegovina,,europe,5039.1,4500.0,5039.1,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
Training course for senior civil protection officers from ASEAN  member countries with the aim to enhance the capacity of local civil protection services to respond to natural or man-made disasters,1,1,3057,2019,italy,"South Asia, regional / Training course for senior civil protection officers from ASEAN  member countries and the ASEAN Secretariat.",,asia,asia,11989.65,10706.96,11989.65,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training course in streaming for ASEAN countries’ Institutions about disaster risk decrease.,0,0,9672,2020,italy,"South Asia, regional / Training course for ASEAN countries’ Institutions about disaster risk decrease.",,asia,asia,29692.0,26000.0,29692.0,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training courses and activities for children and young people with disabilities and their families,1,0,40633,2016,italy,Indonesia / Indonesia / Asia (Far East Asia) / Sustainable Community Development,indonesia,,asia,13269.93,12000.0,13269.93,Committed,ODA,cross-cutting,Grant,Other (Rural Development),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training courses in “Humanitarian international law” in favour of armed forces officers from Colombia and other countries, to contribute to peacebuilding and human rights in Latin America, by sharing the best practices in peace negotiations and respect of the rule of law.",1,0,8757,2020,italy,"America, regional / Peace and Security for Latin America",colombia,,latin america and the caribbean,13460.38,11786.68,13460.38,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training for economic development and the fight against poverty in rural areas,1,0,40619,2016,italy,Paraguay / Paraguay / America (South America) / Training for economic development and the fight against poverty in rural areas,paraguay,,latin america and the caribbean,30112.13,27230.4,30112.13,Committed,ODA,cross-cutting,Grant,Other (Rural Development),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training for the start-up of the system for the sorting of medical waste within health facilities; Training of the Department of Health for the start-up of the monitoring and evaluation system for the sorting of medical waste within health facilities; Preparation and maintenance of vehicles and training of municipal staff for the transport and treatment of medical waste; Training and coaching of the Department of Local Administration and Environment for the start-up of the monitoring and evaluation system for the transport and treatment of medical waste; Development of a pilot plan for the recycling of municipal solid waste,1,1,9705,2020,italy,Syrian Arab Republic / Waste disposal and recycling in North East Syria,syrian arab republic,,asia,30572.48,26771.0,30572.48,Committed,Oda,cross-cutting,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training for young people to produce legumes and beekeeping,0,0,40592,2016,italy,Haiti / Haiti / America (North & Central America) / Training for young people to produce legumes and beekeeping,haiti,,latin america and the caribbean,116015.7,104913.0,116015.7,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training local farmers in Bosnia and Herzegovina to set networks among small-sized cooperatives, to increase the quality of milk and cheese production and to enhance their market presence",1,0,42929,2015,italy,Bosnia and Herzegovina / Bosnia-Herzegovina / Europe / Rural and social development,bosnia and herzegovina,,europe,10418.19,9392.0,10418.19,Committed,ODA,adaptation,Grant,Industry,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"Training of 150 farmers; Promotion of alternative crops; Training of women on the cultivation of soy and moringa, processing of agricultural products as well as health and nutrition education.",1,0,3007,2019,italy,Myanmar / Support -Human development in Shan State- Education of the Da Nu ethnic minority through sustainable agriculture interventions,myanmar,,asia,12475.92,11141.2,12475.92,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training of 150 farmers; Promotion of the soybean production chain; Training of 150 women in good nutritional practices; Promotion of production and processing of crops with high nutritional value,1,0,9484,2020,italy,Myanmar / Human development of the Da-nu ethnic minority: sustainable agriculture and women's empowerment in southern Shan State,myanmar,,asia,14785.7,12947.2,14785.7,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training of 180 leaders in 3 years through theoretical and practical lessons with the production of 75,000 plants and reforestation of 75 hectares in eroded areas, also paying attention to the conservation of drinking water.",1,1,39139,2017,italy,Bolivia / Safeguarding the environment in 15 municipalities where the Yungas live. Enhancement of the forest and environmental policies in the area subject to deforestation and fires. ,"bolivia, plurinational state of",,latin america and the caribbean,135233.37,119952.0,135233.37,Committed,ODA,mitigation,Grant,Other (Environmental policy and administrative management),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training of local producers in the organic farming sector, with a specific focus on women, improving their literacy level and their production capacity.",1,0,8860,2020,italy,Burkina Faso / Agriculture and culture: innovative actions to increase sustainable agricultural production and the use of local and healthy products,burkina faso,,africa,7853.76,6877.2,7853.76,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training of local staff and implementation of the health information system in health centers of the Autonomous Region of Kurdistan,1,0,9259,2020,italy,Iraq / Implementation of an Health information system in Kurdistan Region Iraq,iraq,,asia,230083.31,201474.0,230083.31,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training of researchers and technicians of the Biotechnology Center-and  of the natural history Museum of the University and Mondlane,0,0,9463,2020,italy,Mozambique / Training in Biodiversity  and Biotechnology for sustainable development,mozambique,,africa,231232.16,202480.0,231232.16,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training of students, farmers on the production cycle management in the field of agricultural and forestry, on the cultivation of the fields, on the institutionalization of business and marketing for the marketing of food and agricultural products.",0,0,40546,2016,italy,"Uganda / Uganda / Africa (South of Sahara) / Improved production agro -
food of small farmers in Karamoja - Uganda",uganda,,africa,11058.28,10000.0,11058.28,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training of the indigenous population on the rights of people, land, territory, health, cultural identity, agroecology, agro-forestry system, cultivation, pisciculture, organized groups, coexistence, social integration, culture.",0,1,8853,2020,italy,Brazil / Protagonism and well-being in the life of indigenous peoples in the Prelature region,brazil,,latin america and the caribbean,127788.66,111899.0,127788.66,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training of trainers in hygiene and combating pollution and safety in the urban-rural environment ,0,1,40383,2016,italy,Democratic Republic of the Congo / Democratic Republic of the Congo / Africa (South of Sahara) / Environmental safety project,congo,,africa,24098.2,21792.0,24098.2,Committed,ODA,cross-cutting,Grant,Other (Environmental policy and administrative management),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training on agroecology, enviromental sustainability and food security addressed to smallholders farmers",0,1,40388,2016,italy,Honduras / Honduras / America (North & Central America) / Agroecology in Honduras,honduras,,latin america and the caribbean,18432.38,16668.4,18432.38,Committed,ODA,cross-cutting,Grant,Other (Environmental education/ training),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training on healty and safety for workers in coffee plantations,0,0,40465,2016,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / A coffee cup of rights,ethiopia,,africa,3848.28,3480.0,3848.28,Committed,ODA,cross-cutting,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training on production and marketing of agricultural products, creation of greenhouses.",0,1,39172,2017,italy,"Senegal / Socio-economic development and job opportunities for refugees, asylum seekers and vulnerable persons in target country. ",senegal,,africa,94754.45,84047.2,94754.45,Committed,ODA,cross-cutting,Grant,Other (Education basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Training on production and processing according to agroecological practices to increase quality production and profitability. The project will involve 150 young farmers and 120 girls and peasant women, to end in a development of their agricultural and / or craft activities. Raising awareness of children's rights and socio-economic promotion of women",1,0,39154,2017,italy,Benin / Project for professional training in the agro-environmental field to strengthen two agricultural centers in the archdiocese of Cotonou and Porto-Novo. ,benin,,africa,113499.44,100674.0,113499.44,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training pilot project for protection and management of CARICOM countries cultural heritage,1,0,40097,2016,italy,"Latin America and the Caribbean / America, regional / America / Training pilot project for protection and management of CARICOM countries'' cultural heritage",,"america, latin america and the caribbean",latin america and the caribbean,59670.46,53960.0,59670.46,Committed,ODA,mitigation,Grant,Other (Site preservation),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Training programme addressed to science teachers to spread the culture of environmental sustainability.,1,1,9190,2020,italy,Ghana / SeedScience -Third Phase,ghana,,africa,22840.0,20000.0,22840.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Trainining courses for the promotion of interfaith dialogue.,1,0,9359,2020,italy,Lebanon / Ecumenical Institute for the Middle East,lebanon,,asia,18272.0,16000.0,18272.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Transfer Agreement signed on March 11, 2019 with the European Commission, in order to contribute to the ELECTRIFI Programme, with the aim of contributing to SDG 7, promoting projects and private investments in sustainable energy, with particular regard to access to renewable energy by people living in the most remote and vulnerable rural areas in developing countries.",1,1,2887,2019,italy,"Developing countries, unspecified / ELECTRIFI",,"developing countries, unspecified",continent_unspecified,5599000.0,5000000.0,5599000.0,Committed,Oda,mitigation,Grant,Energy,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"Transfer, adaptation and implementation in Palestine and Jordan of good practices for developing skills in the labor market and the qualification systems in the construction sectors in order to facilitate access to employment and job creation in the const",1,0,9833,2020,italy,West Bank and Gaza Strip / Integrated poles for training and professional and entrepreneurial qualification in the construction sector in Palestine and Jordan.,"jordan, palestine, state of",,asia,228400.0,200000.0,228400.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Treatment of malnutrition and interventions to fight malaria; the latter is one of the leading causes of death among children,0,0,40662,2016,italy,Other (South Sudan) / South Sudan / Africa (South of Sahara) / Doro Clinic,sudan,,africa,663496.63,600000.0,663496.63,Committed,ODA,cross-cutting,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Tthe project aims at achieving sustainable waste management in line with European standards, in a very densely populated area, such as the Gaza Strip, according to the strategy of the three 'Rs': Reduce, Recycle, Reuse.",1,1,9798,2020,italy,"West Bank and Gaza Strip / RE-made in Gaza - Circular economy, prevention and health",,asia,asia,5820.77,5097.0,5820.77,Committed,Oda,cross-cutting,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Tutorship and sanitation of urban and suburban environment,0,1,40186,2016,italy,Mozambique / Mozambique / Africa (South of Sahara) / Clean Quelimane: Tutorship and sanitation of urban and suburban environment,mozambique,,africa,6634.97,6000.0,6634.97,Committed,ODA,mitigation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
UN - United Nations - Italian contribution to the International Residual Mechanism for Criminal Tribunals (IRMCT),0,0,9051,2020,italy,"Developing countries, unspecified / Italian contribution to the International Residual Mechanism for Criminal Tribunals (IRMCT)",,"developing countries, unspecified",continent_unspecified,1074515.69,940906.91,1074515.69,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"UNDP and FAO lead agencies of the Early Recovery and Livelihoods Sector and the Food Security and Agriculture Sector, supported by the Livelihood Working Group (LWG) will issue a call for proposals to their respective local cluster members to implement an",1,0,9708,2020,italy,Syrian Arab Republic / Building resilience for food-security and nutrition with sustainable livelihoods opportunities and social inclusion,syrian arab republic,,asia,1142000.0,1000000.0,1142000.0,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"UNESCO - United Nations Educational, Scientific and Cultural Organisation -TWAS Voluntary Contribution 2020",0,0,9023,2020,italy,"Developing countries, unspecified / UNESCO-TWAS Voluntary Contribution 2020",,"developing countries, unspecified",continent_unspecified,45680.0,40000.0,45680.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
