additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"The project aims to contribute to poverty alleviation in low-income in rural areas of South Ethiopia (Overall Objective) and specifically aims to support the development of income-generating activities, to a large extent related to the characteristics of the areas of agri-food chains intervention (Specific objective) and in particular: the enlargment and strengthening of the network of small producers of honey and improvement of market access for their products; the setting up of income generating activities managed by women's groups (micro-business) and expansion of livelihood at their disposal (horticulture) in an effort to strengthen the food security of their households; awareness of the younger generation on horticulture and food security, including the development of educational gardens.",1,0,42909,2015,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / Diversified sources of income - Modern Beekeeping and diversifying sources of income,ethiopia,,africa,11201.33,10098.0,11201.33,Committed,ODA,adaptation,Grant,Industry,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to contribute to poverty reduction by increasing the income of rural populations in Thaoua Region,1,0,9517,2020,italy,Niger / Support to markets and rural infrastructures in Tahoua Region,niger,,africa,12966.72,11354.4,12966.72,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to contribute to raise the awareness of prospective migrants living in Senegal on the risk of irregular migration.the Specific Objective is to promote the adoption of trusted, factual and balanced information on illegal migration and the legal and economic alternatives",1,0,9600,2020,italy,Senegal / Diaspora in Action – Senegalese Diaspora mobilization for awareness raising on irregular migration ,senegal,,africa,1598.8,1400.0,1598.8,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to contribute to sustainable economic development and poverty reduction in the regions of Apurimac, Ayacucho, Huancavelica and Madre di Dios, promoting the production chain of chestnut and quinoa.",1,0,40506,2016,italy,Peru / Peru / America (South America) / SuperA Peru: promotion of the certified exportation of the Superfoods Quinoa and Brazil nut,"brazil, peru",,latin america and the caribbean,17877.25,16166.4,17877.25,Committed,ODA,mitigation,Grant,Industry,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to contribute to the improvement of food security and job creation in Sierra Leone. The project focuses particularly on improving the agri-food sector.,1,0,40703,2016,italy,Sierra Leone / Sierra Leone / Africa (South of Sahara) / S.I.P.O'.F.A '. in Sierra Leone - participated entrepreneurial development to optimize the supply chain of the cashew in Sierra Leone,sierra leone,,africa,16162.86,14616.07,16162.86,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to develop a system for easy and accurate monitoring of gas in meat products during storage and distribution and to offer an in-service training, where professionals and researchers learn together with the aim of enhancing Safety&Quality of meat products.",1,0,9636,2020,italy,Serbia / MEAT BIOHAZ,serbia,,europe,9136.0,8000.0,9136.0,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to developing a system for easy and accurate monitoring of gas in meat products during storage and distribution and to offer an in-service training, where professionals and researchers learn together with the aim of enhancing Safety&Quality of meat products.",1,0,3046,2019,italy,Serbia / MEAT BIOHAZ,serbia,,europe,17916.8,16000.0,17916.8,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to empower women and reduce gender issues providing women and girls with education, skills and enhancing awereness on their rights. the goal is to train women to work in Hospitality and Tourism Industry",1,0,9773,2020,italy,Uganda / Women's empowerment - social and economic transformation in the Wakiso district,uganda,,africa,52739.84,46182.0,52739.84,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to enhance the enjoyment of basic rights for women, children and young people at risk of illegal migration, through the provision of educational services, the increase in labor income in agriculture and in tourism.",1,0,40109,2016,italy,Egypt / Egypt / Africa (North of Sahara) / DOMI - Dignity and Rights for Women and Children in the District of Yousef es-Saddiq,egypt,,africa,88248.06,79802.72,88248.06,Committed,ODA,cross-cutting,Grant,Other (Other social infrastructure and services),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to enhance women's skills to promote entrepreneurship in the agricultural sector for organic production. 300 women from 10 villages of Dindigul area will be involved.,1,0,9222,2020,italy,India / Promotion and support of 300 small entrepreneurs in organic farming in Dindigul,india,,asia,20233.96,17718.0,20233.96,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to fight against poverty and social exclusion, promoting food safety ans security. The project works to improve the local coltivations (rise, soybeans, corn etc.) in Kon Long Village Tract, Minethaw East Village Tract e Pa-O area.

",1,0,40264,2016,italy,Myanmar / Myanmar / Asia (South & Central Asia) / Feed the future in Shan State of Myanmar.,myanmar,,asia,44233.11,40000.0,44233.11,Committed,ODA,mitigation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to identify appropriate policies for the management of tanks built on the Red-Thai Binh river system,1,0,40700,2016,italy,Viet Nam / Viet Nam / Asia (Far East Asia) / IMRR project - integrated and sustainable management of red-thai binh river system in a changing climate,viet nam,,asia,23247.15,21022.4,23247.15,Committed,ODA,cross-cutting,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to identify victims of mines and other explosive devices in order to allow their physical and psychological rehabilitation, improve training processes and educational opportunities, implement micro-projects to strengthen socio-economic re",1,0,8954,2020,italy,"Colombia / Contribution to the programme OAS-AICMA """"Assistance to landmine survivors and their socio-economic reintegration in Colombia""""",colombia,,latin america and the caribbean,34260.0,30000.0,34260.0,Committed,Oda,adaptation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to implement coffee production activities for the benefit of three local farmers' associations in the Kaffa region. The aim is to help the local population to develop agricultural and commercial activities.,1,0,9130,2020,italy,Ethiopia / Improvement of the living conditions of the marginalized populations Menja through the production of coffee,ethiopia,,africa,83245.86,72894.8,83245.86,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to implement livelihood actions for small businesses that generate income for young people and support revitalisation and economic development by providing support for livelihood or vocational training for at-risk young people, IDPs and c",1,0,9696,2020,italy,Sudan / Building Youth Inclusion in Sudan,sudan,,africa,346026.0,303000.0,346026.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to improve life conditions of citizens in Tunisia by supporting rural development and entrepreneurship. More in detail, the project aims to fight unemployment of young people and women in the Sidi-Bouzid Governorate and migration to Europ",1,0,9757,2020,italy,Tunisia / Berberina in Tunisia - Development of sheep farming as a resilience action by the younger generations of Sidi Bouzid,tunisia,,africa,185224.23,162192.85,185224.23,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to improve living conditions and regulate the management of migratory flows by preventing the violation of human rights caused by irregular migration. The project intends to promote the local development of Kaolack and Tambacounda Regions,1,0,9620,2020,italy,Senegal / Vivre et réussir chez moi - Local development and regionalization of migration policies in Senegal,senegal,,africa,274080.0,240000.0,274080.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to improve some selected sectors of the agricultural sector, in particular that of coffee from Ibo (Coffee Racemosa Loureiro), a special variety typical of the islands of the Province of Cabo Delgado",1,0,9471,2020,italy,Mozambique / Agricultural supply chains and promotion of coffee production in the Querimbas National Park,mozambique,,africa,548160.0,480000.0,548160.0,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to improve the awareness of fair trade and sustainable commerce in the developing countries, creating two videos on cocoa production chain to be published on Web sites, social networks or public meetings. Some producers and workers  will be invited in public meeting and schools to talk about their experience as a model of commerce that respects human rights.",1,0,40324,2016,italy,"Other (Developing countries) / Developing countries, unspecified /  / Travelling with fair trade",,"developing countries, unspecified",continent_unspecified,19904.9,18000.0,19904.9,Committed,ODA,cross-cutting,Grant,Not applicable,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"The project aims to improve the condition of people who live in the Inhambane Province by the means of security and safety food to mothers and children.

",1,0,40245,2016,italy,Mozambique / Mozambique / Africa (South of Sahara) / Seed the future: promotion of security food in order to improve maternal and childish health in the Mourrumbene District.,mozambique,,africa,44233.08,39999.98,44233.08,Committed,ODA,mitigation,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to improve the living conditions of 900 vulnerable young people in the districts of Kotido, Nakapiriprit and Napak through informal professional and entrepreneurial training. The present proposal, addressing vulnerable households such as ",1,0,9777,2020,italy,"Uganda / Feeding the communities of Moroto and Napak, Karamoja, Uganda (NCC) with food and knowledge",uganda,,africa,159880.0,140000.0,159880.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to improve the nutrition and health condition of population in Samburu County.
 
",1,0,40246,2016,italy,Kenya / Kenya / Africa (South of Sahara) / Never without food: actions to strengthen  securitiy and safety food in dry and semidry areas in the north of Kenya.,kenya,,africa,17229.68,15580.8,17229.68,Committed,ODA,mitigation,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to improve the opportunities for income generation of farmers of the oases in the delegation of El Faouar,1,0,9738,2020,italy,Tunisia / OASIS - Agriculture Oasis for Sustainable Business Development,tunisia,,africa,2299.21,2013.32,2299.21,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to increase food security and income of small agricultural producers by developing the agro-industrial supply chain in the Thiès region. The project aims to respond to the aforementioned problems by improving the production techniques of ,1,0,9626,2020,italy,Senegal / Social business innovative development of the agroindustrial value chain in the Thiès Region (SB-AGROIN),senegal,,africa,548253.28,480081.68,548253.28,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to offer women victims of violence, abandoned or with disabilities, the opportunity for training in the techniques of production and marketing of pastry. It is expected to initially benefit 54 women who, having acquired the job, will be able to start their own businesses for a better social and economic integration.",1,0,9569,2020,italy,Peru / Materials for setting up a pastry shop for female professional training courses,peru,,latin america and the caribbean,8702.5,7620.4,8702.5,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to organize at the Parmaalimenta nutritional education centre a health service, available three times a week and addressed to mothers with malnourished children.A nurse will be at patient disposal to offer individual services using both a mobile app and a nutrition educational diary.The project plans also to support 50 of the mothers belonging to the nutritional centre and to ensure a path that can lead to a sustainable and lasting reduction of child malnutrition.",1,0,2839,2019,italy,Burundi / socio-health training and support for female micro-entrepreneurship as sustainable and long-lasting tools to combat child malnutrition,burundi,,africa,11189.04,9992.0,11189.04,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to play a part in the improvement of the living conditions of the rural areas of Tunisia, through the microenterprises' strengthening in the agro-food sector.With the project, the micro-enterprises of the milk, vegetable, date, herbs and ",1,0,9759,2020,italy,Tunisia / ProAgro: Support to micro-enterprises for sustainable agri-food sector development and employment opportunities in disadvantaged areas of Tunisia.,tunisia,,africa,287784.0,252000.0,287784.0,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to promote a culture of peace in the communities of Waorami residing in the provinces of Orellana and Pastaza, to allow the local population to collaborate and grow in society.",1,0,9077,2020,italy,Ecuador / Strengthening the culture of peace between the Waorani people and indigenous peoples,ecuador,,latin america and the caribbean,82962.19,72646.4,82962.19,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to promote and consolidate the respect, protection and fulfilling of human rights of Palestinian people, with special regard to detainees and minors.",0,0,9796,2020,italy,West Bank and Gaza Strip / KARAMA (Dignity) - Toward a system respectful of human rights and people's dignity,"palestine, state of",,asia,2494.2,2184.06,2494.2,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to promote civil society’s identification and implementation of concrete actions for a strong and alternative model of women and girls’ roles and rights, promoting an inclusive, empowered and competent society. The action focus on awareness raising and capacity building on gender equality and related issues (gender-sensitive projects planning/implementation, gender budgeting, GE Analysis and Planning, etc.) targeting micro, small and medium civil society organizations (CSOs) ",1,0,3066,2019,italy,"Suriname / Gender Plus. Support to concrete actions to develop a strong model on women's rights, while fighting against poverty of vulnerable communities. ",suriname,,latin america and the caribbean,277.71,248.0,277.71,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to promote socio-economic development by creating a short agricultural and pastoral chain with the launch of a mini dairy to collect milk directly from the farmers. The project addresses the sector's weaknesses in three main areas: (i) the networking of farmers and the organization of a milk collection and processing point (mini dairy); (ii) the creation of a G.I.E. for the processing and marketing of milk and its derivatives; (iii) the control and monitoring of animal health. ,1,0,9601,2020,italy,"Senegal / Milk collection and processing as a driver of rural enterprise development in Ndiao Bambaly Village - Kaffrine region, Senegal",senegal,,africa,4522.32,3960.0,4522.32,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to promote the social inclusion of young Tunisians and their job placement through educational activities, socio-economic development, self-entrepreneurship and prevention of marginalization and radicalism processes in the Governorates of",1,0,9758,2020,italy,Tunisia / JASMIN: Youth Action for a society able to promote the employment and inclusion,tunisia,,africa,254338.32,222713.06,254338.32,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to provide support for the possible creation of a network of women mediators from ASEAN countries, sharing the experience gained in recent years in the context of the MWMN Network, through the exchange of experiences and the organization of training and mentoring activities aimed at 12 women from ASEAN countries and the ASEAN Secretariat.",1,0,9013,2020,italy,"Developing countries, unspecified / WIIS - Strengthening conflict mediation - capacity building for women from ASEAN Countries",,"asia, developing countries, unspecified",asia,26598.55,23291.2,26598.55,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to reactivate the processes of social-economic and productive development, school activities and services as well as basic health and gender equality.",1,0,42472,2015,italy,Mozambique / Mozambique / Africa (South of Sahara) / Resilience in Gorongosa,mozambique,,africa,628274.33,566389.31,628274.33,Committed,ODA,adaptation,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to reduce rural poverty among people who live in a peruvian region caractherized by a high production of coffee.  ,1,0,40271,2016,italy,Peru / Peru / America (South America) / Caffè corretto: promotion of  young enterpreneurship in  agricoltural sectors and in particolar in coffee production.,peru,,latin america and the caribbean,44233.11,40000.0,44233.11,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to reduce the rate of malnutrition children assuring food to the vulnerable range of local population  by means of  integrated programme for female empowerment.,1,0,40265,2016,italy,"Kenya / Kenya / Africa (South of Sahara) / Food sostenible production in dry and semi-dry lands, by means of  local authorities and improvement of childish nutrition in Migori County.",kenya,,africa,44188.88,39960.0,44188.88,Committed,ODA,mitigation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to reinforce democratic principles and institutions through long term capacity development of electoral authorities and implementaton of reforms.,1,0,9752,2020,italy,Tunisia / Tunisian election assistance program,tunisia,,africa,92273.6,80800.0,92273.6,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to sostenible devolpment and reduction of poverty in Madre de Dios region, Mancomunicad de los andes area by means of  exportation,  trade and consumption of local products (Brasil nut and quinoa).

",1,0,40270,2016,italy,Peru / Peru / America (South America) / Superalimentos: enhancement and promotion of quinoa and brasil nut supply chain in Peru,"brazil, peru",,latin america and the caribbean,43693.46,39512.0,43693.46,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to strengthen the activities of the 40 women heads of the agricultural communities: polliculture, coffee cultivation and sewing, through the purchase of raw materials, materials and machinery specific to each sector. The goal is to strengthen the self-sufficiency of the corresponding families, starting to market the fruit of their work in an ever better way.",1,0,8944,2020,italy,Colombia / Support for the economic promotion of women from the Creativas y Emprendedoras peasant association,colombia,,latin america and the caribbean,8560.89,7496.4,8560.89,Committed,Oda,adaptation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to strengthen the capacity of state and non-state actors in three target countries (Tunisia, Morocco, Mauritania) and non-state actors in Libya, to manage labor migration and to protect the rights of migrant workers, both their citizens e",1,0,9760,2020,italy,Tunisia / Improvement of migration governance and of migrant workers' rights in the Maghreb region,tunisia,,africa,341320.96,298880.0,341320.96,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to strengthen the milk and honey value chain in all their steps, in through the structuring of producer cooperatives, guaranteeing their legitimacy and their means and paying particular attention to food safety, health and hygiene. The general objective of the Project is to contribute to ensuring the right to healthy and quality food and to sustainable local supply chains in Niger. ",1,0,9516,2020,italy,Niger / Milk and honey: two high value chains as response to food and economic insecurity in rural areas in Niger ,niger,,africa,6452.3,5650.0,6452.3,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to strengthen the rights and the social role of women, with particular regard to women and young people with disabilities. More in detail, the project intends to create a social-health network to support women's rights, prevention, care, ",1,0,9078,2020,italy,Ecuador / Woman and Disability. Valorisation of the woman in the prevention and care of the person with disability.,ecuador,,latin america and the caribbean,144302.95,126359.85,144302.95,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to strengthen, structure and optimize the production chain, paying attention to food safety: improving availability and access to nutritious food and the important potential as a cash crop, with the support and technical infrastructure processes of storage and processing; innovation in the supply chain: after mapping of the subjects and market analysis, you will work together to provide expertise and identify options for business models for the production-processing-marketing",1,0,40274,2016,italy,Sierra Leone / Sierra Leone / Africa (South of Sahara) / S.I. P.O.’ F.A.’ ,sierra leone,,africa,8012.35,7245.56,8012.35,Committed,ODA,mitigation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to support local authorities for the development of a child-friendly urban plan. For doing that training and technical support on prevention and treatment of family violence will be done with public authorities and service operators. A training program for family promoters through the social theater and a plan for internal distribution of spaces will be implemented in the most vulnerable houses. The project will involve the private sector in order to sensitize them on violence. ,1,0,3030,2019,italy,Peru / All against family violence,peru,,latin america and the caribbean,9000.5,8037.6,9000.5,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to support the GSO General Statistics Office to strengthen its capacity to produce, analyse, use and disseminate statistical data.",1,0,9790,2020,italy,Viet Nam / VIETNAM - Improvement of  National Statistical System,viet nam,,asia,2905.25,2544.0,2905.25,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to support the GSO-General Statistics Office to strengthen its capacity to produce, analyse, use and disseminate statistical data.",1,0,9793,2020,italy,Viet Nam / VIETNAM - Improvement of National Statistical System,viet nam,,asia,117944.39,103278.8,117944.39,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project aims to support the Government in the investment sector,1,0,40058,2016,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / Supporting growth and trasformation in Ethiopia through Investment Climate Improvements - Expert Fund,ethiopia,,africa,74728.65,67577.12,74728.65,Committed,ODA,cross-cutting,Grant,Industry,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to support the Government of Kenya/KNBS in implementing the 8th National population and housing Census and to strenghten its capacity to produce, analyze, use and disseminate statistical data",1,0,9304,2020,italy,Kenya / Support to the implementation of 2019 population and housing census,kenya,,africa,18272.0,16000.0,18272.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to support the chain of tubers and cereals, involving Haiti to Expo 2015, and the chain of Moringa oleifera, aimed at the production of food supplements for children. Local producers beneficiaries will receive technical assistance and incentives to the production and marketing will be supported through an agreement with the social enterprise existing at the Université Notre Dame de Haiti. Alongside it will be implemented a training program and community outreach to help reduce malnutrition.",1,0,40258,2016,italy,Haiti / Haiti / America (North & Central America) / Fight against malnutrition in Haiti: production of food supplements and socio-economic development of the food chain,haiti,,latin america and the caribbean,8608.71,7784.86,8608.71,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to support the creation of self-employment of women and young people in order to strengthen and integrate what has already been achieved in other ongoing interventions. Five enterprises made up of young men and women will develop the chain of handicraft products (food, textiles and cosmetics) locally made and marketed under the TATAOUI brand and 15 enterprises active in agriculture, livestock breeding, and processing of agro-food products and services will be created.",1,0,3086,2019,italy,Tunisia / Promotion of female and youth entrepreneurship in Tunisia,tunisia,,africa,15570.15,13904.4,15570.15,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to support the development of an inclusive and sustainable tomato value chain in Egypt by increasing value-addiction and by enhancing technical capacities of youth, thereby enhancing their employability and job/business opportunities",1,0,9088,2020,italy,Egypt / Inclusive and sustainable development of the tomato value chain in Egypt,egypt,,africa,616680.0,540000.0,616680.0,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to support the livelihood of 3,500 small-scale farmers by improving agricultural production and the sale of seeds and spices of high commercial value.Activities will be carried out on the improvement of the production of seeds of local va",1,0,9504,2020,italy,"Nepal / SPEED for Life: SPices and sEEDs value chain improvement for rural development in Nepal, enhancing women and youth empowerment",nepal,,asia,149485.48,130897.97,149485.48,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to support the strengthening  of primary health care system  of the Palestinian Ministry of Health , through the development of infrastructure and provision of medical equipment",1,0,9821,2020,italy,West Bank and Gaza Strip / Strengthening Primary Healt Care system in the Palestinian Territories - Local fund,"palestine, state of",,asia,90279.33,79053.71,90279.33,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to the goal of improving lives of young disabled women and men, focusing on professional education, access to work opportunities and trying to guarantee inclusive and courses using low cost and low-tech assisted technologies. Professional Training Centres workers will be trained to new technologies too, in order to ensure accessibility to the courses for people with all types of disabilities and 30 scholarships will be awarded, 60% of them dedicated to disabled girls",1,0,2997,2019,italy,Mozambique / Enhancing the autonomy and inclusion of young people with disabilities in Mozambique,mozambique,,africa,28816.93,25734.0,28816.93,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project aims to the integration of services available to Syrian refugees and host communities, in order to better support the survivors of gender-based violence.",1,0,9254,2020,italy,Iraq / Integration of services available to Syrian refugees and host communities to support of the survivors of gender-based violence.,iraq,,asia,4796.4,4200.0,4796.4,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project builds on the results and recommendations stemming from a FAO-UNIDO jointly implemented initiative between 2011 and 2014. It aims at contributing in the improvement of livelihoods, food and nutrition security of the target population in Kassala State, especially for women and youth. By focusing on three strategic components (1. value-chain development and agriculture productivity improvement at the household level; 2. community participation in entrepreneurship development; and 3. access to finance through local microfinance institutions), the project plans to create sustainable job opportunities and foster inclusive economic growth in the project target areas. Over a time-span of 12 months, the project will benefit around 1,000 households and in particular small-scale farmers, micro-enterprises, women and young people by partnering with public institutions, local community-based organizations and the private sector.",1,0,39023,2017,italy,Sudan / UNIDO - Sudan,sudan,,africa,2536640.36,2250000.0,2536640.36,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project concerns the improvement of the productive activities and economic conditions of female beekeepers in district 8 of the Municipality of Padcaya, through an enhancement of the bee honey production chain, managed by the women associated in the local organization AMEAT.",1,0,8817,2020,italy,Bolivia / Empowering women in Tarija through the production and marketing of bee honey,"bolivia, plurinational state of",,latin america and the caribbean,90883.56,79582.8,90883.56,Committed,Oda,adaptation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The project consists in hospitality and care for 50 orphans HIV + at the Tumaini Children's Home in Nanyuki. On guarantees them social and health care and adequate nutrition to their health status,1,0,40669,2016,italy,Kenya / Kenya / Africa (South of Sahara) / Tumaini Children's Home,kenya,,africa,3425.85,3098.0,3425.85,Committed,ODA,cross-cutting,Grant,Other (Population policies),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project consists in sending active ingredients and equipment for the production of drugs at local level, there is also the training of local operators and the provision of incentives to them",1,0,8754,2020,italy,"Algeria / Support to the """"m. embarek facal-la"""" drug production laboratory in sahrawi refugee camps in Algeria",algeria,,africa,8507.44,7449.6,8507.44,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The project consists in the renovation and expansion of the building that houses the PROAFUR Urban and Rural Financial Support Program, so that it can continue to carry out its function of supporting farmers to cultivate the land and local small and medium-sized businesses to to continue living, in an area that is experiencing a very strong economic crisis and that is bringing the population to its knees with poverty and unemployment.",1,0,9511,2020,italy,Nicaragua / Renovation of the PROAFUR headquarters in Matagalpa,nicaragua,,latin america and the caribbean,12432.27,10886.4,12432.27,Committed,Oda,adaptation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
